@relation chemical_pottery

@ATTRIBUTE group  {1,2,3,4,5,6,7}
@ATTRIBUTE Formula   STRING
@ATTRIBUTE Na2O   NUMERIC
@ATTRIBUTE MgO   NUMERIC
@ATTRIBUTE Al2O3   NUMERIC
@ATTRIBUTE SiO2   NUMERIC
@ATTRIBUTE Cl   NUMERIC
@ATTRIBUTE K2O   NUMERIC
@ATTRIBUTE TiO2   NUMERIC
@ATTRIBUTE Cr2O3   NUMERIC
@ATTRIBUTE MnO   NUMERIC
@ATTRIBUTE Fe2O3   NUMERIC
@ATTRIBUTE NiO   NUMERIC
@ATTRIBUTE CuO   NUMERIC
@ATTRIBUTE ZnO   NUMERIC
@ATTRIBUTE Rb2O   NUMERIC
@ATTRIBUTE SrO   NUMERIC
@ATTRIBUTE Y2O3   NUMERIC
@ATTRIBUTE ZrO2   NUMERIC
@ATTRIBUTE Nb2O5   NUMERIC
@ATTRIBUTE BaO   NUMERIC

@DATA
"7","BCN_1",0.322,1.83,9.5,56.6,0.082,4.02,1.17,0.0126,0.0308,4.99,0,0.0129,0.0182,0.0306,0.0288,0.0042,0.107,0.0016,0
"7","BCN_2",0.258,2.02,8.7,48.4,0.0643,3.71,1.22,0.012,0.0374,6.19,0,0.0076,0.0154,0.0319,0.0311,0.0049,0.0926,0.0024,0.0008
"7","BCN_3",0.217,2.36,11.1,53.8,0.0815,5,1.24,0.0242,0.0317,8.53,0.0032,0.0121,0.0193,0.0428,0.0276,0.0034,0.0449,0.0025,0.0252
"7","BCN_4",0.427,1.92,10.7,56.5,0.0687,3.49,1.65,0.0317,0.0544,8.76,0.0053,0.0102,0.0164,0.0228,0.0323,0.0051,0.107,0.0037,0
"7","BCN_5",0.363,1.47,11.9,72.4,0.0846,3.55,1.56,0.0302,0.0467,7.33,0.0038,0.0135,0.0178,0.0196,0.0173,0.0029,0.0993,0.0017,0
"7","BCN_6",0.318,2.61,13.5,67.3,0.105,5.04,1.45,0.0266,0.027,7.92,0.0043,0.0067,0.0229,0.0353,0.0207,0.0082,0.0912,0.0049,0.0256
"7","BCN_8",0,2.08,11.2,53.3,0.0657,4.44,1.46,0.0284,0.0605,10.4,0.0045,0.0116,0.0416,0.0316,0.0363,0.0072,0.0546,0.0042,0.231
"7","BCN_10",0.519,2.12,11.6,57.8,0.0895,3.47,1.93,0.06,0.0605,8.75,0.0121,0.0179,0.0221,0.0224,0.031,0.0065,0.137,0.0045,0
"7","BCN_11",0,2.53,10.4,50.2,0.0702,4.1,1.28,0.0249,0.062,8.76,0.003,0.0098,0.0225,0.0307,0.0331,0.0045,0.0527,0.0035,0.0085
"7","BCN_12",0.332,1.57,7.48,39.8,0.0559,2.52,1.44,0.0488,0.0532,7.41,0,0.0233,0.0249,0.0179,0.0403,0.0049,0.0878,0.004,0.0078
