Genus,Species,Sample code,Location,Population,Species,Population,Plant,Leaf,Sample,Phytolith,ArBBox,Area,ArEqD,AspRatio,Breadth,CArea,CHull,Circularity,Compactness,Concavity,Convexity,Curve_Length,Curve_Width,EqEllAr,Feret,MaxR,MBCRadius,MinR,ModRatio,PerEqD,Perimeter,Rectangularity,RFactor,Roundness,Shape,Solidity,Sphericity
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,1,3763,1790,47.74,1.414,51.59,2321.5,187.794,0.439,0.654,531.5,0.83,30.9,9.9,2955.453,72.945,37.057,36.473,6.256,0.172,569.775,226.309,0.476,0.819,0.428,28.612,0.771,0.169
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,2,3870,1873.5,48.841,1.63,48.72,2469,199.626,0.421,0.615,595.5,0.844,31.8,10,3039.491,79.429,40.102,39.715,4.569,0.115,596.354,236.551,0.484,0.8,0.378,29.867,0.759,0.114
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,3,3234,1709,46.647,1.233,51.22,2016,171.114,0.537,0.739,307,0.855,26.3,10.4,2539.978,63.135,32.425,31.567,8.553,0.271,543.992,200.024,0.528,0.863,0.546,23.411,0.848,0.264
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,4,1991,1075.5,37.005,1.58,35.5,1337,142.82,0.516,0.66,261.5,0.883,22.6,7.3,1563.728,56.089,28.463,28.045,5.843,0.208,342.342,161.782,0.54,0.811,0.435,24.336,0.804,0.205
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,5,3864,1908,49.288,1.181,57.21,2406,187.05,0.441,0.73,498,0.802,29,11.6,3034.779,67.543,35.262,33.774,6.939,0.205,607.335,233.137,0.494,0.882,0.533,28.487,0.793,0.197
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,6,2815,1586.5,44.944,1.104,50.49,1750.5,157.783,0.679,0.806,164,0.921,21.5,11.5,2210.896,55.758,28.849,27.962,13.951,0.5,504.999,171.296,0.564,0.901,0.65,18.495,0.906,0.484
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,7,3601,2021.5,50.733,1.19,55.01,2367.5,183.406,0.566,0.775,346,0.865,26.2,11.5,2828.219,65.46,33.856,32.73,9.193,0.281,643.463,211.924,0.561,0.892,0.601,22.217,0.854,0.272
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,8,2284,1330.5,41.159,1.157,44.44,1452.5,143.148,0.687,0.801,122,0.918,19.7,10.9,1793.849,51.4,26.486,25.739,12.356,0.481,423.511,155.983,0.583,0.886,0.641,18.287,0.916,0.467
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,9,3858,2192,52.829,1.563,49.69,2701,202.646,0.493,0.68,509,0.858,31.3,11.1,3030.066,77.647,39.792,38.922,6.675,0.172,697.735,236.309,0.568,0.831,0.463,25.475,0.812,0.168
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,10,2950,1780.5,47.613,1.287,47.88,2039,169.442,0.643,0.773,258.5,0.908,23.4,10.6,2316.925,61.612,31.512,30.806,10.2,0.331,566.751,186.61,0.604,0.875,0.597,19.558,0.873,0.324
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,11,2778,1578.5,44.831,1.521,42.74,1812,163.53,0.595,0.69,233.5,0.896,24.4,10.3,2181.836,65,33.087,32.5,11.565,0.356,502.452,182.61,0.568,0.801,0.476,21.125,0.871,0.35
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,12,2745,1681.5,46.27,1.223,47.38,1904,161.815,0.582,0.799,222.5,0.849,24,10.5,2155.918,57.94,29.548,28.97,9.136,0.315,535.238,190.61,0.613,0.889,0.638,21.607,0.883,0.309
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,13,2940,1793,47.78,1.42,45.5,2059.5,172.427,0.615,0.739,266.5,0.901,24.5,10.4,2309.071,64.622,33.018,32.311,11.313,0.35,570.73,191.338,0.61,0.849,0.547,20.418,0.871,0.343
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,14,2657,1518,43.963,1.22,46.66,1783.5,159.459,0.591,0.772,265.5,0.887,23.2,9.9,2086.803,56.939,29.198,28.471,8.26,0.29,483.194,179.681,0.571,0.891,0.596,21.268,0.851,0.283
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,15,2418,1552,44.453,1.46,40.7,1783.5,161.87,0.607,0.748,231.5,0.903,23.2,9.8,1899.093,59.414,30.17,29.827,7.919,0.267,494.017,179.196,0.642,0.867,0.56,20.69,0.87,0.262
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,16,2824,1822,48.165,1.314,46.35,2082,170.835,0.656,0.791,260,0.914,23,11.6,2217.964,60.926,31.87,30.546,12.238,0.402,579.961,186.853,0.645,0.893,0.625,19.162,0.875,0.384
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,17,3723,2307,54.197,1.402,51.54,2684,196.606,0.591,0.75,377,0.888,27.7,12.5,2924.037,72.236,37.453,36.487,10.481,0.29,734.341,221.48,0.62,0.866,0.563,21.263,0.86,0.28
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,18,2820,1634.5,45.619,1.115,50.29,1808,157.801,0.691,0.813,173.5,0.915,20.5,11.9,2214.823,56.08,29.223,28.04,13.199,0.471,520.278,172.468,0.58,0.896,0.662,18.198,0.904,0.452
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,19,3672,2241.5,53.423,1.225,54.74,2651.5,191.453,0.594,0.796,410,0.879,26.4,13.1,2883.982,67.082,34.12,33.616,10.982,0.327,713.492,217.723,0.61,0.908,0.634,21.148,0.845,0.322
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,20,3046,1928.5,49.552,1.368,47.18,2117,172.543,0.689,0.768,188.5,0.92,24.2,11.9,2392.323,64.56,33.041,32.282,14.08,0.436,613.861,187.581,0.633,0.851,0.589,18.246,0.911,0.426
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,21,2915,1734,46.987,1.214,49.01,1974.5,166.036,0.654,0.79,240.5,0.91,23.3,11.2,2289.436,59.481,30.369,29.782,12.594,0.423,551.949,182.51,0.595,0.889,0.624,19.21,0.878,0.415
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,22,2626,1640.5,45.703,1.28,45.3,1845,159.078,0.657,0.788,204.5,0.898,22.2,10.9,2062.456,57.974,30.225,28.987,12.265,0.423,522.187,177.095,0.625,0.873,0.621,19.118,0.889,0.406
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,23,2904,1886.5,49.01,1.2,49.19,2107,169.456,0.636,0.83,220.5,0.878,23.1,11.6,2280.796,59.034,30.539,29.688,12.468,0.422,600.492,193.095,0.65,0.914,0.689,19.765,0.895,0.408
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,24,2608,1952.5,49.86,1.405,43.09,2203.5,173.642,0.666,0.824,251,0.905,22.5,11.9,2048.318,60.531,31.279,30.336,12.479,0.412,621.5,191.924,0.749,0.913,0.678,18.865,0.886,0.399
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,25,4322,2493.5,56.346,1.206,59.86,2876,201.097,0.576,0.78,382.5,0.862,29,12.5,3394.491,72.201,36.244,36.101,10.407,0.288,793.706,233.238,0.577,0.887,0.609,21.817,0.867,0.287
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,26,3359,1807,47.966,1.433,48.42,2238.5,180.367,0.471,0.691,431.5,0.822,29.2,10.1,2638.152,69.376,35.176,34.688,7.688,0.222,575.186,219.48,0.538,0.828,0.478,26.658,0.807,0.219
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,27,4479,2347,54.665,1.16,62.13,2882.5,199.154,0.459,0.758,535.5,0.785,29,12.5,3517.798,72.09,39.185,36.045,10.671,0.296,747.073,253.622,0.524,0.879,0.575,27.407,0.814,0.272
Panicum,miliace,10_3,Bcn-1,PI 578074,1,1,1,1,1,28,3661,1821.5,48.158,1.058,58.82,2222,177.986,0.51,0.774,400.5,0.84,23.9,12.5,2875.343,62.241,32.137,31.129,13.475,0.433,579.801,211.924,0.498,0.91,0.599,24.656,0.82,0.419
