@relation skull-measurements

@ATTRIBUTE Sex   {M,F}
@ATTRIBUTE Population  STRING
@ATTRIBUTE GOL   NUMERIC
@ATTRIBUTE BBH   NUMERIC
@ATTRIBUTE ZYB   NUMERIC
@ATTRIBUTE AUB   NUMERIC
@ATTRIBUTE NLH   NUMERIC
@ATTRIBUTE OBH   NUMERIC
@ATTRIBUTE OBB   NUMERIC
@ATTRIBUTE NLB   NUMERIC
@ATTRIBUTE MDH   NUMERIC
@ATTRIBUTE OCC   NUMERIC
  
@DATA
M,NORSE,189,135,133,119,50,31,42,26,31,98
M,NORSE,182,139,137,125,48,28,39,25,19,93
M,NORSE,191,123,134,125,53,33,41,23,28,88
M,NORSE,191,127,135,127,53,35,40,26,25,94
M,NORSE,178,128,129,121,51,32,39,24,26,94
M,NORSE,194,132,136,128,50,33,40,25,29,103
M,NORSE,186,122,128,119,49,32,39,24,26,93
M,NORSE,186,130,128,121,49,35,38,25,32,94
M,NORSE,186,134,135,123,51,33,39,24,31,101
M,NORSE,189,131,130,125,50,33,40,25,28,107
M,NORSE,186,138,136,129,55,32,41,25,28,96
M,NORSE,182,124,125,120,53,36,40,25,28,95
M,NORSE,193,134,132,125,53,35,38,24,29,101
M,NORSE,195,127,135,125,59,35,39,24,32,96
M,NORSE,187,131,133,125,48,33,39,25,28,100
M,NORSE,179,132,139,129,49,31,40,28,28,90
M,NORSE,175,132,128,114,47,35,40,26,30,98
M,NORSE,191,128,139,127,58,34,42,28,37,98
M,NORSE,192,127,134,126,57,35,42,24,36,103
M,NORSE,194,139,137,125,52,33,39,24,36,103
M,NORSE,195,128,137,125,49,36,41,26,33,95
M,NORSE,184,137,134,122,52,35,40,23,30,96
M,NORSE,195,141,136,131,56,32,38,25,36,103
M,NORSE,189,134,136,122,52,34,42,25,31,98
M,NORSE,188,133,129,121,50,35,40,24,28,103
M,NORSE,182,123,130,119,48,33,39,26,24,97
M,NORSE,188,133,135,123,53,34,40,25,28,98
M,NORSE,186,134,140,125,51,27,39,25,28,96
M,NORSE,186,134,137,126,51,35,42,25,31,98
M,NORSE,201,133,139,132,50,30,41,27,28,101
M,NORSE,192,126,137,128,51,32,41,26,31,97
M,NORSE,190,139,134,126,52,36,42,26,33,102
M,NORSE,189,139,137,127,54,35,42,26,31,98
M,NORSE,181,136,134,125,50,34,39,26,29,96
M,NORSE,194,123,137,129,55,35,41,24,33,96
M,NORSE,187,126,140,118,52,35,43,26,30,90
M,NORSE,192,131,133,123,49,32,39,26,28,100
M,NORSE,179,131,135,125,50,32,40,25,22,89
M,NORSE,188,122,124,115,54,30,38,27,31,94
M,NORSE,179,131,133,121,51,35,40,24,33,98
M,NORSE,190,126,135,127,55,36,42,27,32,96
M,NORSE,190,131,134,124,55,38,44,25,26,95
M,NORSE,195,136,139,130,53,35,41,30,31,93
M,NORSE,200,140,142,127,56,35,42,28,30,97
M,NORSE,187,128,132,123,54,34,40,26,32,100
M,NORSE,190,131,129,122,52,36,40,25,23,96
M,NORSE,188,130,133,126,51,36,42,26,30,94
M,NORSE,193,139,131,122,54,34,42,30,30,100
M,NORSE,192,137,137,130,54,37,43,25,24,102
M,NORSE,189,137,139,134,55,33,41,25,30,98
F,NORSE,182,119,122,117,48,32,39,25,28,94
F,NORSE,170,123,124,113,48,34,39,24,26,94
F,NORSE,180,128,122,118,45,33,36,26,26,97
F,NORSE,177,120,120,112,45,32,38,23,24,100
F,NORSE,180,126,124,115,47,33,41,22,27,96
F,NORSE,180,126,129,121,47,34,39,25,23,92
F,NORSE,176,128,128,123,46,34,39,23,26,100
F,NORSE,172,131,122,114,51,36,39,25,26,98
F,NORSE,180,123,119,108,46,30,38,24,22,91
F,NORSE,171,127,121,117,44,32,37,23,26,96
F,NORSE,181,134,126,116,49,33,40,26,21,102
F,NORSE,182,127,120,114,44,30,37,21,28,94
F,NORSE,181,128,122,117,46,34,40,23,22,99
F,NORSE,179,130,119,113,51,34,37,23,24,107
F,NORSE,175,127,123,113,45,30,38,26,25,101
F,NORSE,184,129,126,119,50,31,40,26,26,103
F,NORSE,179,123,127,120,47,31,40,25,26,96
F,NORSE,176,130,128,121,53,36,40,25,24,96
F,NORSE,180,126,127,121,51,36,41,23,26,95
F,NORSE,174,125,129,123,52,34,41,23,24,91
F,NORSE,177,125,118,115,49,32,40,23,25,86
F,NORSE,182,122,127,118,49,32,42,21,28,93
F,NORSE,177,121,122,115,46,30,37,26,26,89
F,NORSE,186,129,123,113,55,36,38,24,24,91
F,NORSE,176,128,124,117,53,31,38,25,25,92
F,NORSE,181,127,123,119,49,31,37,26,25,102
F,NORSE,176,127,132,122,50,33,40,25,28,88
F,NORSE,183,123,122,113,51,33,38,25,29,101
F,NORSE,174,123,128,119,50,35,41,23,28,87
F,NORSE,184,127,125,117,52,38,40,27,27,102
F,NORSE,188,126,125,120,46,33,38,28,26,96
F,NORSE,178,130,127,122,50,33,38,21,31,94
F,NORSE,189,125,131,124,45,32,41,24,27,101
F,NORSE,180,124,123,119,52,33,38,25,26,88
F,NORSE,187,123,125,117,48,33,40,25,24,95
F,NORSE,178,125,119,114,50,32,37,21,24,91
F,NORSE,178,133,132,121,49,32,41,25,26,99
F,NORSE,180,123,124,115,50,31,39,25,26,98
F,NORSE,177,135,128,122,51,34,41,24,24,100
F,NORSE,189,119,125,118,50,33,38,26,25,94
F,NORSE,184,132,127,119,51,35,42,22,28,97
F,NORSE,182,124,129,113,50,35,42,28,29,95
F,NORSE,181,129,120,118,50,35,41,27,24,96
F,NORSE,179,127,122,118,50,33,41,21,30,98
F,NORSE,187,127,127,120,50,33,40,22,31,99
F,NORSE,180,134,128,121,48,34,39,24,24,89
F,NORSE,180,121,122,118,50,38,40,23,28,90
F,NORSE,180,123,125,119,56,37,39,25,28,92
F,NORSE,193,126,126,121,49,32,38,23,23,96
F,NORSE,178,117,119,115,49,34,39,25,27,95
F,NORSE,188,126,134,130,54,35,42,25,31,91
F,NORSE,179,119,121,117,51,36,39,24,33,98
F,NORSE,176,130,120,116,49,28,37,27,26,99
F,NORSE,177,119,123,118,49,33,39,25,22,90
M,ZALAVAR,186,133,134,125,53,33,39,25,35,96
M,ZALAVAR,186,138,132,122,47,33,41,24,25,98
M,ZALAVAR,186,132,136,129,56,35,40,26,28,86
M,ZALAVAR,181,127,134,124,56,36,40,25,30,91
M,ZALAVAR,178,133,129,123,51,34,42,22,32,94
M,ZALAVAR,180,129,127,116,46,28,39,26,28,94
M,ZALAVAR,183,138,130,123,51,33,41,24,27,92
M,ZALAVAR,178,127,127,119,53,32,40,27,30,90
M,ZALAVAR,184,141,127,122,52,35,40,22,27,104
M,ZALAVAR,192,127,132,125,50,36,41,27,29,100
M,ZALAVAR,190,142,139,125,52,32,41,27,33,105
M,ZALAVAR,194,138,136,125,49,34,40,25,30,96
M,ZALAVAR,181,137,133,124,51,33,39,26,28,95
M,ZALAVAR,180,139,134,126,50,34,39,25,27,101
M,ZALAVAR,175,132,132,123,49,32,41,28,28,94
M,ZALAVAR,176,125,125,120,45,29,39,25,25,95
M,ZALAVAR,192,140,133,117,50,34,40,25,30,98
M,ZALAVAR,181,135,136,124,55,32,41,26,29,94
M,ZALAVAR,187,138,136,129,56,35,40,25,31,92
M,ZALAVAR,181,138,131,119,50,32,40,25,26,94
M,ZALAVAR,192,142,134,128,53,35,40,27,33,105
M,ZALAVAR,188,139,137,124,55,35,40,26,28,89
M,ZALAVAR,196,139,137,129,53,33,43,29,30,108
M,ZALAVAR,185,133,134,124,53,36,39,23,31,90
M,ZALAVAR,195,132,138,133,53,33,40,27,30,96
M,ZALAVAR,189,128,130,124,50,30,37,27,32,101
M,ZALAVAR,188,129,137,125,52,32,42,26,31,95
M,ZALAVAR,188,140,137,121,51,30,39,28,26,101
M,ZALAVAR,193,144,134,126,50,34,41,24,30,102
M,ZALAVAR,191,142,134,123,54,32,40,27,31,92
M,ZALAVAR,187,133,133,126,54,32,40,27,32,94
M,ZALAVAR,188,138,123,113,50,31,38,25,30,95
M,ZALAVAR,183,133,129,117,51,29,41,25,28,91
M,ZALAVAR,178,133,132,122,49,30,42,27,26,90
M,ZALAVAR,187,141,134,120,50,33,39,26,29,98
M,ZALAVAR,185,138,134,121,53,32,41,25,25,95
M,ZALAVAR,181,132,130,120,48,31,40,24,22,95
M,ZALAVAR,171,132,130,121,48,30,39,26,35,89
M,ZALAVAR,189,133,134,129,53,35,39,25,32,99
M,ZALAVAR,191,139,138,126,48,31,39,27,27,96
